Product_id,Product_name,Product_description,Unit_price,Stock,Supplier_id,Category_id
PR0046,NeatFreak Storage Bins,"Organize your home with NeatFreak Storage Bins. With their stackable design and durable construction, these bins are perfect for storing clothes, toys, and more.",34.99,35,SU0023,CA0028
PR0047,DreamCloud Comforter Set,"Transform your bedroom into a cozy retreat with the DreamCloud Comforter Set. With its luxurious fabric and reversible design, this comforter set adds style and comfort to any bed.",79.99,28,SU0024,CA0029
PR0048,SilkSerenade Bedsheets,"Drift off to sleep in luxury with SilkSerenade Bedsheets. Made from silky-smooth fabric and featuring a deep pocket design, these bedsheets ensure a comfortable night's sleep.",39.99,12,SU0024,CA0029
PR0049,SparkleSweep Broom,"Keep your floors clean and sparkling with the SparkleSweep Broom. With its durable bristles and lightweight design, this broom makes cleaning a breeze.",9.99,29,SU0025,CA0030
PR0050,FreshGlow All-Purpose Cleaner,"Keep your home clean and fresh with FreshGlow All-Purpose Cleaner. With its powerful formula and refreshing scent, this cleaner tackles dirt and grime with ease.",5.99,43,SU0025,CA0030
PR0051,LuminousGlow Floor Lamp,"Illuminate your space with the LuminousGlow Floor Lamp. With its adjustable design and soft glow, this floor lamp adds warmth and ambiance to any room.",79.99,26,SU0026,CA0031
PR0052,AuraGleam Table Lamp,"Add a touch of elegance to your space with the AuraGleam Table Lamp. With its sleek design and soft illumination, this table lamp enhances any decor.",49.99,8,SU0026,CA0031
PR0053,UrbanOasis Shower Curtain,"Upgrade your bathroom with the UrbanOasis Shower Curtain. With its water-resistant fabric and stylish design, this shower curtain adds a touch of luxury to your daily routine.",19.99,40,SU0027,CA0032
PR0054,SereneSpa Bath Mat,"Step out of the shower and onto the SereneSpa Bath Mat. With its plush fabric and absorbent design, this bath mat keeps your feet warm and dry.",14.99,49,SU0027,CA0032
PR0055,FitFocus Exercise Bike,"Get in shape with the FitFocus Exercise Bike. With its adjustable resistance levels and comfortable seat, this exercise bike makes workouts enjoyable and effective.",299.99,3,SU0028,CA0033
PR0056,PowerPulse Treadmill,"Stay active and healthy with the PowerPulse Treadmill. With its cushioned deck and customizable workouts, this treadmill is perfect for users of all fitness levels.",499.99,15,SU0028,CA0033
PR0057,AdventureQuest Backpack,"Embark on your next adventure with the AdventureQuest Backpack. With its durable construction and spacious compartments, this backpack is perfect for hiking, camping, and travel.",49.99,30,SU0029,CA0034
PR0058,TrailBlazer Camping Tent,"Experience the great outdoors with the TrailBlazer Camping Tent. With its easy setup and weather-resistant design, this tent provides a comfortable shelter for your camping trips.",199.99,9,SU0029,CA0034
PR0059,EnduranceFlex Sports Bra,"Experience comfort and support during your workouts with the EnduranceFlex Sports Bra. With its moisture-wicking fabric and adjustable straps, this sports bra keeps you cool and focused on your fitness goals.",24.99,18,SU0030,CA0035
PR0060,PowerPerform Athletic Shorts,"Maximize your performance with PowerPerform Athletic Shorts. With their lightweight fabric and ergonomic design, these shorts provide freedom of movement and lasting comfort.",19.99,45,SU0030,CA0035
PR0061,SpeedSprint Road Bike,"Conquer the open road with the SpeedSprint Road Bike. With its lightweight frame and precision engineering, this bike delivers speed and agility for your cycling adventures.",599.99,25,SU0031,CA0036
PR0062,TrailBlaze Mountain Bike,"Explore rugged trails with confidence on the TrailBlaze Mountain Bike. With its durable construction and responsive handling, this bike is built for off-road adventures.",499.99,13,SU0031,CA0036
PR0063,AdventureSeeker Hiking Boots,"Embark on your next hiking adventure with AdventureSeeker Hiking Boots. With their waterproof design and grippy outsoles, these boots keep you comfortable and sure-footed on any terrain.",99.99,7,SU0032,CA0037
PR0064,WildernessWanderer Camping Stove,"Enjoy hot meals outdoors with the WildernessWanderer Camping Stove. With its compact design and reliable performance, this stove is your essential camping companion.",79.99,39,SU0032,CA0037
PR0065,ReelMaster Fishing Rod,"Cast your line with confidence using the ReelMaster Fishing Rod. With its responsive action and durable construction, this rod delivers precision and power for your fishing excursions.",49.99,48,SU0033,CA0038
PR0066,CatchCraze Tackle Box,"Organize your fishing gear with the CatchCraze Tackle Box. With its spacious compartments and sturdy construction, this tackle box keeps your lures and accessories secure and accessible.",29.99,22,SU0033,CA0038
PR0067,TeamTorch Soccer Ball,"Hit the field with the TeamTorch Soccer Ball. With its durable construction and responsive bounce, this ball is perfect for practice sessions and friendly matches.",19.99,44,SU0034,CA0039
PR0068,BasketBlast Basketball,"Shoot hoops like a pro with the BasketBlast Basketball. With its superior grip and consistent bounce, this basketball is perfect for indoor and outdoor play.",29.99,19,SU0034,CA0039
PR0069, AquaAdventurer Kayak,"Explore lakes and rivers with the AquaAdventurer Kayak. With its stable design and comfortable seating, this kayak is perfect for beginners and experienced paddlers alike.",299.99,2,SU0035,CA0040
PR0070, SurfPro Surfboard,"Ride the waves with the SurfPro Surfboard. With its sleek shape and lightweight construction, this surfboard offers speed and maneuverability for riders of all skill levels.",399.99,5,SU0035,CA0040
PR0071,AdventureAwaits Camping Hammock,"Relax in nature with the AdventureAwaits Camping Hammock. With its sturdy suspension system and breathable fabric, this hammock is perfect for camping trips and outdoor adventures.",59.99,33,SU0036,CA0041
PR0072,ExplorersEdge Compass,"Navigate with confidence using the ExplorersEdge Compass. With its durable construction and precise readings, this compass is your reliable guide in the great outdoors.",19.99,37,SU0036,CA0041
PR0073,TrailBlazer Camping Tent,"Set up camp with ease using the TrailBlazer Camping Tent. With its spacious interior and weather-resistant design, this tent provides shelter and comfort for your outdoor adventures.",199.99,12,SU0037,CA0041
PR0074,RevitalizeGlow Facial Cream,"Refresh your skin with RevitalizeGlow Facial Cream. With its nourishing formula and revitalizing ingredients, this cream hydrates and brightens your complexion for a radiant glow.",19.99,24,SU0037,CA0042
PR0075,HydraQuench Moisturizer,"Hydrate your skin with HydraQuench Moisturizer. With its lightweight texture and hydrating properties, this moisturizer leaves your skin feeling soft and supple all day long.",14.99,10,SU0038,CA0042
PR0076,SilkSmooth Exfoliating Scrub,"Reveal smoother skin with SilkSmooth Exfoliating Scrub. With its gentle exfoliation and luxurious texture, this scrub removes impurities and leaves your skin feeling refreshed.",9.99,32,SU0038,CA0042
PR0077,GlamourGlow Highlighter Palette,"Illuminate your features with GlamourGlow Highlighter Palette. With its silky texture and radiant shades, this palette adds a luminous glow to your complexion for a glamorous look.",29.99,35,SU0039,CA0043
PR0078,FlawlessFinish Foundation,"Achieve a flawless complexion with FlawlessFinish Foundation. With its lightweight formula and buildable coverage, this foundation evens out your skin tone for a natural-looking finish.",19.99,16,SU0039,CA0043
PR0079,LuxuryLash Mascara,"Enhance your lashes with LuxuryLash Mascara. With its volumizing formula and clump-free application, this mascara adds drama and definition to your eyes for a luxurious look.",14.99,36,SU0040,CA0043
PR0080,SilkySmooth Shampoo,"Cleanse your hair with SilkySmooth Shampoo. With its gentle formula and nourishing ingredients, this shampoo leaves your hair feeling soft, shiny, and manageable.",9.99,38,SU0040,CA0044
PR0081,LuxLock Conditioner,"Lock in moisture with LuxLock Conditioner. With its hydrating formula and smoothing properties, this conditioner nourishes your hair and prevents frizz for a silky-smooth finish.",9.99,1,SU0041,CA0044
PR0082,StyleSleek Hair Serum,"Tame frizz and add shine with StyleSleek Hair Serum. With its lightweight formula and non-greasy texture, this serum smooths and enhances your hair for a sleek, polished look.",14.99,14,SU0041,CA0044
PR0083,AuraBliss Perfume,"Indulge your senses with AuraBliss Perfume. With its captivating fragrance and long-lasting scent, this perfume envelops you in an aura of elegance and sophistication.",49.99,11,SU0042,CA0045
PR0084,EssenceEuphoria Cologne,"Elevate your fragrance game with EssenceEuphoria Cologne. With its invigorating scent and masculine notes, this cologne exudes confidence and charm.",59.99,41,SU0042,CA0045
PR0085,ScentSational Body Mist,"Refresh and revitalize with ScentSational Body Mist. With its refreshing fragrance and lightweight mist, this body mist leaves you feeling energized and invigorated.",24.99,34,SU0043,CA0045
PR0086,FreshBreeze Body Wash,"Cleanse and nourish your skin with FreshBreeze Body Wash. With its gentle formula and refreshing scent, this body wash leaves your skin feeling clean, soft, and rejuvenated.",7.99,23,SU0043,CA0046
PR0087,RelaxationRetreat Bath Salts,"Unwind and relax with RelaxationRetreat Bath Salts. With their soothing fragrance and therapeutic properties, these bath salts create a spa-like experience in the comfort of your own home.",12.99,47,SU0044,CA0046
PR0088,SkinSoothe Body Lotion,"Soothe and hydrate your skin with SkinSoothe Body Lotion. With its nourishing formula and calming ingredients, this body lotion leaves your skin feeling soft, smooth, and replenished.",14.99,28,SU0044,CA0046
PR0089,ProGlow Makeup Brushes,"Create flawless makeup looks with ProGlow Makeup Brushes. With their soft bristles and ergonomic handles, these brushes blend and buff makeup effortlessly for a professional finish.",24.99,42,SU0045,CA0047
PR0090,StyleSavvy Hair Brush,"Achieve salon-worthy hair with StyleSavvy Hair Brush. With its detangling bristles and comfortable grip, this hair brush smooths and styles your hair with ease.",19.99,31,SU0045,CA0047
PR0091,BeautyBlend Makeup Sponge,"Blend and contour like a pro with BeautyBlend Makeup Sponge. With its soft texture and versatile shape, this makeup sponge ensures seamless application for a flawless finish.",9.99,43,SU0046,CA0047
PR0092,GentlemanGlow Beard Oil,"Nourish and condition your beard with GentlemanGlow Beard Oil. With its lightweight formula and masculine scent, this beard oil softens and tames unruly hair for a groomed appearance.",19.99,21,SU0046,CA0048
PR0093,FreshFace Men's Skincare Set,"Revitalize your skin with FreshFace Men's Skincare Set. With its comprehensive collection of grooming essentials, this set cleanses, hydrates, and protects your skin for a fresh, revitalized complexion.",29.99,6,SU0047,CA0048
PR0094,SmoothShave Razor Kit,"Achieve a close and comfortable shave with SmoothShave Razor Kit. With its precision razor and soothing shave cream, this kit ensures smooth and irritation-free results every time.",39.99,27,SU0047,CA0048
PR0095,SparkleBright Whitening Toothpaste,"Brighten your smile with SparkleBright Whitening Toothpaste. With its enamel-safe formula and minty flavor, this toothpaste gently removes stains and freshens breath for a dazzling smile.",6.99,29,SU0048,CA0049
PR0096,FreshMint Mouthwash,"Freshen your breath and protect against cavities with FreshMint Mouthwash. With its refreshing mint flavor and antibacterial properties, this mouthwash leaves your mouth feeling clean and invigorated.",4.99,46,SU0048,CA0049
PR0097,WhiteningWonders Dental Floss,"Achieve a brighter smile with WhiteningWonders Dental Floss. With its gentle yet effective flossing action, this dental floss removes plaque and whitens teeth for a healthier, brighter smile.",3.99,20,SU0049,CA0049
PR0098,VitalVibe Multivitamin,"Support your overall health with VitalVibe Multivitamin. With its comprehensive blend of essential vitamins and minerals, this multivitamin promotes energy, immunity, and vitality.",14.99,4,SU0049,CA0050
PR0099,HarmonyHealth Herbal Supplements,"Boost your well-being with HarmonyHealth Herbal Supplements. With their natural ingredients and targeted formulas, these supplements support various aspects of your health and wellness.",19.99,17,SU0050,CA0050
PR0100,PowerPulse Energy Drink,"Fuel your day with PowerPulse Energy Drink. With its refreshing taste and energizing blend of vitamins and caffeine, this energy drink keeps you alert and focused whenever you need a boost.",2.99,50,SU0050,CA0050
